order_ref,invoice_id,customer_name,customer_email,amount,currency,status,payment_method,created_at,notes
ORD-2024-0001,INV-2307,Reddy Solutions,test@example.com,4210500,INR,completed,card,2024-06-08T00:54:38,
ORD-2024-0002,INV-8433,Sharma Electronics,test@example.com,4506600,INR,completed,netbanking,2024-06-21T02:02:11,
ORD-2024-0003,INV-8744,Reddy Solutions,test@example.com,147600,INR,completed,wallet,2024-06-08T13:12:56,
ORD-2024-0004,INV-2113,Reddy Solutions,test@example.com,3534600,INR,completed,wallet,2024-06-29T05:06:13,
ORD-2024-0005,INV-8239,Rao Consulting,test@example.com,3016400,INR,completed,wallet,2024-06-21T02:38:28,
ORD-2024-0006,INV-5279,Gupta Traders,test@example.com,1396700,INR,completed,netbanking,2024-07-14T09:05:06,
ORD-2024-0007,INV-2193,Desai Foods,test@example.com,2406900,INR,completed,wallet,2024-06-28T02:32:51,
ORD-2024-0008,INV-7232,Desai Foods,test@example.com,349100,INR,completed,card,2024-07-06T09:04:22,
ORD-2024-0009,INV-3683,Joshi Enterprises,test@example.com,4765900,INR,completed,card,2024-06-11T17:01:01,
ORD-2024-0010,INV-4937,Desai Foods,test@example.com,2295400,INR,completed,wallet,2024-07-05T15:35:48,
ORD-2024-0011,INV-7818,Kumar Garments,test@example.com,810700,INR,completed,upi,2024-07-17T07:00:42,
ORD-2024-0012,INV-5415,Kumar Garments,test@example.com,1159100,INR,completed,card,2024-07-06T02:43:58,
ORD-2024-0013,INV-8736,Reddy Solutions,test@example.com,4566000,INR,completed,wallet,2024-07-02T10:29:37,
ORD-2024-0014,INV-8994,Rao Consulting,test@example.com,993800,INR,completed,card,2024-06-29T19:36:32,
ORD-2024-0015,INV-9138,Joshi Enterprises,test@example.com,1942600,INR,completed,upi,2024-06-23T13:38:51,
ORD-2024-0016,INV-8606,Joshi Enterprises,test@example.com,610600,INR,completed,wallet,2024-07-29T10:44:40,
ORD-2024-0017,INV-6869,Reddy Solutions,test@example.com,4312000,INR,completed,netbanking,2024-06-07T17:48:59,
ORD-2024-0018,INV-1982,Kumar Garments,test@example.com,3021800,INR,completed,netbanking,2024-07-12T01:08:02,
ORD-2024-0019,INV-2864,Singh Motors,test@example.com,3665500,INR,completed,wallet,2024-06-24T04:10:58,
ORD-2024-0020,INV-5193,Reddy Solutions,test@example.com,4915600,INR,completed,upi,2024-06-28T06:23:48,
ORD-2024-0021,INV-6482,Patel Textiles,test@example.com,1009300,INR,completed,netbanking,2024-06-29T02:29:10,
ORD-2024-0022,INV-4918,Joshi Enterprises,test@example.com,2048800,INR,completed,wallet,2024-07-06T13:42:52,
ORD-2024-0023,INV-8489,Patel Textiles,test@example.com,2452700,INR,completed,card,2024-07-06T03:44:06,
ORD-2024-0024,INV-8204,Nair Imports,test@example.com,2578800,INR,completed,netbanking,2024-07-26T17:07:01,
ORD-2024-0025,INV-4515,Kumar Garments,test@example.com,2942300,INR,completed,netbanking,2024-07-09T15:30:51,
ORD-2024-0026,INV-9501,Joshi Enterprises,test@example.com,1985700,INR,completed,card,2024-07-25T05:44:04,
ORD-2024-0027,INV-4110,Gupta Traders,test@example.com,205900,INR,completed,wallet,2024-06-06T01:39:18,
ORD-2024-0028,INV-5911,Desai Foods,test@example.com,3537200,INR,completed,card,2024-06-01T03:54:49,
ORD-2024-0029,INV-8861,Singh Motors,test@example.com,1137400,INR,completed,netbanking,2024-07-04T22:54:07,
ORD-2024-0030,INV-5742,Sharma Electronics,test@example.com,1344200,INR,completed,card,2024-07-23T19:36:32,
ORD-2024-0031,INV-9998,Desai Foods,test@example.com,4729400,INR,completed,upi,2024-06-12T00:30:46,
ORD-2024-0032,INV-3086,Reddy Solutions,test@example.com,781700,INR,completed,card,2024-07-14T07:28:42,
ORD-2024-0033,INV-5927,Gupta Traders,test@example.com,1597200,INR,completed,wallet,2024-06-14T02:26:59,
ORD-2024-0034,INV-9180,Rao Consulting,test@example.com,496900,INR,completed,netbanking,2024-06-13T21:23:35,
ORD-2024-0035,INV-2531,Nair Imports,test@example.com,507100,INR,completed,wallet,2024-07-23T01:45:58,
ORD-2024-0036,INV-5839,Reddy Solutions,test@example.com,1796600,INR,completed,card,2024-06-03T02:42:24,
ORD-2024-0037,INV-6147,Gupta Traders,test@example.com,696900,INR,completed,wallet,2024-06-02T03:15:46,
ORD-2024-0038,INV-4621,Desai Foods,test@example.com,4785800,INR,completed,netbanking,2024-06-30T07:37:59,
ORD-2024-0039,INV-7431,Kumar Garments,test@example.com,3435100,INR,completed,card,2024-07-01T12:40:52,
ORD-2024-0040,INV-9951,Reddy Solutions,test@example.com,3928700,INR,completed,wallet,2024-06-09T20:55:40,
ORD-2024-0041,INV-1040,Patel Textiles,test@example.com,4677900,INR,completed,wallet,2024-07-10T23:02:18,
ORD-2024-0042,INV-3246,Nair Imports,test@example.com,321000,INR,completed,upi,2024-06-07T22:47:54,
ORD-2024-0043,INV-7520,Rao Consulting,test@example.com,4951200,INR,completed,netbanking,2024-06-08T21:27:56,
ORD-2024-0044,INV-1721,Sharma Electronics,test@example.com,2052700,INR,completed,upi,2024-07-15T15:55:42,
ORD-2024-0045,INV-4792,Rao Consulting,test@example.com,802500,INR,completed,wallet,2024-07-03T01:55:03,
ORD-2024-0046,INV-7563,Singh Motors,test@example.com,4612200,INR,completed,card,2024-07-24T11:52:42,
ORD-2024-0047,INV-4951,Joshi Enterprises,test@example.com,4767600,INR,completed,card,2024-06-26T18:03:48,
ORD-2024-0048,INV-4657,Kumar Garments,test@example.com,3740100,INR,completed,upi,2024-07-07T05:10:25,
ORD-2024-0049,INV-8909,Sharma Electronics,test@example.com,3271700,INR,completed,wallet,2024-06-10T12:03:26,
ORD-2024-0050,INV-7468,Sharma Electronics,test@example.com,1026500,INR,completed,upi,2024-06-04T13:08:14,
ORD-2024-0051,INV-2609,Reddy Solutions,test@example.com,590300,INR,completed,upi,2024-06-25T20:15:23,
ORD-2024-0052,INV-3167,Gupta Traders,test@example.com,450000,INR,completed,card,2024-06-20T18:27:06,
ORD-2024-0053,INV-8713,Gupta Traders,test@example.com,3372200,INR,completed,netbanking,2024-07-13T13:37:31,
ORD-2024-0054,INV-4122,Sharma Electronics,test@example.com,3103700,INR,completed,card,2024-06-04T23:05:51,
ORD-2024-0055,INV-4254,Kumar Garments,test@example.com,2266100,INR,completed,upi,2024-07-28T17:50:48,
ORD-2024-0056,INV-8908,Kumar Garments,test@example.com,997400,INR,completed,wallet,2024-06-06T18:37:50,
ORD-2024-0057,INV-9328,Rao Consulting,test@example.com,4409800,INR,completed,upi,2024-07-26T12:19:01,
ORD-2024-0058,INV-9259,Nair Imports,test@example.com,2257100,INR,completed,wallet,2024-06-23T23:04:15,
ORD-2024-0059,INV-9370,Joshi Enterprises,test@example.com,1336500,INR,completed,card,2024-06-14T22:43:30,
ORD-2024-0060,INV-9691,Desai Foods,test@example.com,4968600,INR,completed,card,2024-07-08T19:54:05,
ORD-2024-0061,INV-1745,Patel Textiles,test@example.com,3390500,INR,completed,netbanking,2024-07-22T18:31:20,
ORD-2024-0062,INV-4170,Singh Motors,test@example.com,4175200,INR,completed,wallet,2024-06-10T10:51:06,
ORD-2024-0063,INV-8310,Gupta Traders,test@example.com,4473600,INR,completed,upi,2024-07-17T12:04:18,
ORD-2024-0064,INV-4992,Sharma Electronics,test@example.com,3098000,INR,completed,upi,2024-07-29T16:33:11,
ORD-2024-0065,INV-8899,Nair Imports,test@example.com,581900,INR,completed,netbanking,2024-06-14T16:21:17,
ORD-2024-0066,INV-8133,Patel Textiles,test@example.com,3807800,INR,completed,card,2024-07-04T04:17:24,
ORD-2024-0067,INV-8517,Desai Foods,test@example.com,1296200,INR,completed,card,2024-06-03T21:49:39,
ORD-2024-0068,INV-3863,Desai Foods,test@example.com,518200,INR,completed,card,2024-07-06T06:29:54,
ORD-2024-0069,INV-4259,Kumar Garments,test@example.com,2798300,INR,completed,upi,2024-06-14T15:15:31,
ORD-2024-0070,INV-8654,Rao Consulting,test@example.com,487500,INR,completed,netbanking,2024-06-06T05:53:53,
ORD-2024-0071,INV-4076,Singh Motors,test@example.com,2915700,INR,completed,card,2024-06-20T13:19:03,
ORD-2024-0072,INV-1146,Sharma Electronics,test@example.com,3058800,INR,completed,wallet,2024-07-15T01:09:19,
